7376
3070	Tシャツ	49
6814	あい	12
9377	あいさつ	8
4899	あいだ	9
2531	あいつ	18
6854	あいまい	9
8546	あおい	19
5221	あおり	7
1407	あからさま	13
2091	あかり	12
3025	あき	20
2972	あきらか	19
7254	あきらめ	4
3260	あく	3
9264	あけすけ	4
3261	あげく	8
12006	あこがれ	5
3554	あご	12
7753	あさこ	7
9356	あさみ	11
8334	あさり	4
6939	あし	4
13398	あした	4
12738	あすか	8
7496	あずさ	11
7180	あたし	13
4900	あだ名	7
509	あちこち	28
7699	あっという間	7
1325	あっぱれ	5
10825	あつ子	5
1639	あて	10
10856	あの世	3
10424	あの手この手	4
16113	あま	7
1359	あまり	137
16553	あみ	3
16022	あめ	3
2092	あや	9
4432	あゆみ	16
7679	あら	14
1876	あらあら	3
16970	あらわ	3
8907	ありがたみ	6
2808	あり方	21
0	あれこれ	41
15497	あれだけ	3
7413	あん	24
16452	あんこ	4
11160	あんしん	17
5495	あんず	3
1408	あんた	20
13331	あんど	7
8902	あんま	13
9754	いいかげん	3
4933	いい加減	8
8944	いか	11
695	いかが	507
8815	いき	5
4901	いきさつ	5
1002	いくら	73
8858	いし	16
5448	いじめ	26
5850	いずみ	7
3158	いずれ	197
8076	いたずら	15
12173	いた事	11
4456	いち	41
9619	いちご	21
11516	いちど	9
1409	いちばん	37
15803	いちろう	3
2809	いっか	6
7905	いっこ	3
7640	いっさい	6
5365	いっしょ	22
1410	いっぱい	85
5907	いっぺん	3
11428	いっぽう	5
158	いつか	98
5279	いづみ	4
7754	いとう	10
13372	いね	9
14482	いのち	6
11843	いびき	3
11029	いまどき	4
11313	いも	6
6734	いやいや	6
15197	いわき	6
2168	いわく	52
5086	いわれ	5
5871	い服	4
1497	うえ	112
4209	うかつ	5
9225	うさ	4
418	うさぎ	13
9118	うし	6
4210	うそ	3
12872	うた	36
5825	うたた寝	5
10777	うちわ	10
9966	うっかり	10
7353	うってつけ	9
7486	うつ	20
16288	うつわ	4
5813	うつ病	8
9689	うどん	13
5675	うなぎ	10
15690	うな重	4
10277	うに	4
10465	うねり	3
16132	うの	6
13710	うぶ	5
14576	うま	4
12514	うめ	7
6070	うり	7
3583	うるうる	3
7892	うろこ	3
8705	うわさ	12
2093	うんちく	5
5908	うんぬん	4
16334	えび	3
4620	えみ	5
6940	えり	5
16838	おい	3
16301	おいら	3
5676	おおらか	7
11003	おかけ	22
4827	おかげ	111
3133	おかず	15
11133	おき	7
6680	おさらば	6
11772	おし	11
7974	おしっこ	5
9575	おしまい	3
2274	おしゃべり	26
1450	おしゃれ	135
12130	おしらせ	8
2570	おしり	16
16008	おしん	3
14092	おじ	8
3854	おじいさん	4
9465	おじいちゃん	9
